instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,rest_screen.started,rest_screen.stopped,trials.order,loop_rest.thisRepN,loop_rest.thisTrialN,loop_rest.thisN,loop_rest.thisIndex,loop_rest.ran,loop_rest.order
0.0005,2.0745,space,2.0585,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,2.0826,2.0829,2.0829,4.7672,2,0,2.6709,,4.7674,7.7697,7.7699,7.7703,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,7.7801,7.7803,7.7803,9.6898,1,0,1.8951,,9.69,12.6912,12.6913,12.6913,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,12.7,12.7003,12.7003,14.3714,1,0,1.6578,,14.3716,17.3727,17.3727,17.3727,0,2,2,2,1,118 / 2,59,63,57,2,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,17.3817,17.3819,17.3819,20.5738,3,0,3.1814,,20.574,23.5751,23.5751,23.5751,0,3,3,3,1,36 - 13,23,28,22,2,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,23.5838,23.5839,23.5839,25.029,2,0,1.4379,,25.0293,28.0299,28.03,28.03,0,4,4,4,1,38 - 12,26,23,36,2,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,28.0374,28.0375,28.0376,30.751,2,0,2.704,,30.7513,33.7521,33.7521,33.7523,0,5,5,5,1,38 + 26,64,54,62,1,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,33.7619,33.7621,33.7621,38.5939,2,0,4.8193,,38.5942,41.5949,41.595,41.595,0,6,6,6,1,108 / 2,54,56,64,2,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,41.6042,41.6043,41.6044,45.0228,2,0,3.4114,,45.0232,48.024,48.024,48.0241,0,7,7,7,1,15 * 2,30,27,26,2,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,48.0328,48.0329,48.0329,50.7842,2,0,2.7441,,50.7844,53.785,53.7852,53.7852,0,8,8,8,1,30 - 14,16,17,18,2,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,53.7939,53.7941,53.7941,57.1205,3,0,3.3212,,57.1209,60.1216,60.1217,60.1218,0,9,9,9,1,13 * 2,26,24,23,3,60.131,75.1277,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,75.1356,75.1357,75.1358,79.2487,3,0,4.0993,,79.2489,82.2494,82.2495,82.2495,0,10,10,10,1,31 + 10,41,39,32,3,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,82.2499,82.25,82.25,90.8805,3,0,8.6229,,90.8812,93.8809,93.8811,93.8812,0,11,11,11,1,27 - 14,13,10,23,1,,,,,,,,,
,,,,,101,001,2024-08-14_13h20.05.694,arithmetic_task,2024.1.5,MacIntel,75.18796992,93.8842,93.8845,93.8845,96.2946,1,0,2.4018,,96.2948,99.2963,99.2964,99.2964,0,12,12,12,1,27 + 18,45,47,52,1,,,,,,,,,
