instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0002,7.335,space,7.3295,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,7.3395,7.3397,7.3397,10.0151,2,0,2.662,,10.0158,13.0173,13.0175,13.0178,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,13.0266,13.0266,13.0266,23.0202,,0,,,23.0209,26.0215,26.0215,26.0215,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,26.0284,26.0285,26.0285,36.0245,,0,,,36.0264,39.0262,39.0263,39.0263,0,2,2,2,1,118 / 2,59,63,57,2,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,39.0355,39.0357,39.0357,46.1882,2,0,7.1416,,46.1885,49.1894,49.1894,49.1895,0,3,3,3,1,36 - 13,23,28,22,2,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,49.1984,49.1985,49.1985,51.764,2,0,2.5528,,51.7643,54.765,54.7651,54.7652,0,4,4,4,1,38 - 12,26,23,36,2,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,54.7749,54.7752,54.7752,59.3399,1,0,4.5562,,59.3402,62.3416,62.3416,62.3417,0,5,5,5,1,38 + 26,64,54,62,1,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,62.35,62.3504,62.3504,65.009,2,0,2.6516,,65.0091,68.0099,68.0101,68.0101,0,6,6,6,1,108 / 2,54,56,64,2,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,68.0192,68.0194,68.0194,69.624,2,0,1.5994,,69.6242,72.625,72.6251,72.6251,0,7,7,7,1,15 * 2,30,27,26,2,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h45.49.919,arithmetic_task,2024.1.5,MacIntel,75.18796992,72.6337,72.634,72.634,74.8654,2,0,2.2194,,74.8655,77.8671,77.8672,77.8674,0,8,8,8,1,30 - 14,16,17,18,2,,,,,,,,,,,,
