instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,pause.started,pause.stopped,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0004,11.0137,space,11.0018,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,11.0195,11.0198,11.0199,12.986,2,0,1.9536,,12.9863,14.9876,14.9879,17.9887,17.989,17.9892,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,17.9988,17.9989,17.9989,19.5358,1,0,1.5252,,19.5361,21.5354,21.5355,24.537,24.5371,24.5371,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,24.5425,24.5426,24.5426,25.8978,1,0,1.3455,,25.898,27.8987,27.8987,30.8996,30.8997,30.8997,0,2,2,2,1,118 / 2,59,63,57,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,30.9077,30.908,30.908,32.5528,1,0,1.6326,,32.553,34.5543,34.5544,37.5556,37.5556,37.5556,0,3,3,3,1,36 - 13,23,28,22,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,37.5628,37.563,37.563,39.3963,2,0,1.8198,,39.3966,41.3967,41.3968,44.398,44.3981,44.3981,0,4,4,4,1,38 - 12,26,23,36,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,44.4057,44.4059,44.406,45.9719,1,0,1.5601,,45.9721,47.9727,47.9727,50.9737,50.9738,50.9738,0,5,5,5,1,38 + 26,64,54,62,1,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,50.9813,50.9815,50.9815,53.0401,1,0,2.0491,,53.0403,55.0419,55.0419,58.0429,58.043,58.043,0,6,6,6,1,108 / 2,54,56,64,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,58.0527,58.0528,58.0529,60.1236,2,0,2.0614,,60.1237,62.1242,62.1244,65.1254,65.1254,65.1254,0,7,7,7,1,15 * 2,30,27,26,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,65.1322,65.1323,65.1324,67.1394,2,0,1.9986,,67.1394,69.1395,69.1395,72.1405,72.1405,72.1405,0,8,8,8,1,30 - 14,16,17,18,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,72.1486,72.1487,72.1487,74.1957,3,0,2.0357,,74.1959,76.1954,76.1954,79.2025,79.2025,79.2026,0,9,9,9,1,13 * 2,26,24,23,3,79.2099,94.2029,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,94.2126,94.2126,94.2126,96.7502,3,0,2.5273,,96.7502,98.75,98.7501,101.7521,101.7522,101.7522,0,10,10,10,1,31 + 10,41,39,32,3,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,101.7604,101.7605,101.7606,103.4194,1,0,1.6462,,103.4197,105.419,105.4191,108.4212,108.4213,108.4213,0,11,11,11,1,27 - 14,13,10,23,1,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,108.4313,108.4314,108.4314,110.0741,1,0,1.6327,,110.0743,112.0754,112.0755,115.077,115.0771,115.0771,0,12,12,12,1,27 + 18,45,47,52,1,,,,,,,,,,,,
