instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,pause.started,pause.stopped,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,key_resp_eq.rt,key_resp_eq.duration,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0002,5.1578,space,5.1492,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,5.1631,5.1633,5.1633,15.1613,,0,15.1618,17.1606,17.1608,20.1559,20.156,20.156,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,20.1645,20.1646,20.1646,21.923,1,0,21.9231,23.9226,23.9226,26.9236,26.9237,26.9237,0,1,1,1,1,11 * 3,33,31,38,1,1.7517,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,26.9313,26.9315,26.9315,35.8065,2,0,35.8068,37.8065,37.8066,40.8062,40.8063,40.8063,0,2,2,2,1,118 / 2,59,63,57,2,8.8719,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,40.8159,40.816,40.816,44.7119,2,0,44.7121,46.7062,46.7062,49.7061,49.7061,49.7062,0,3,3,3,1,36 - 13,23,28,22,2,3.8938,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,49.7156,49.7158,49.7158,56.2143,2,0,56.2145,58.214,58.2141,61.2176,61.2176,61.2176,0,4,4,4,1,38 - 12,26,23,36,2,6.494,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,61.2276,61.2278,61.2278,65.0852,1,0,65.0854,67.0853,67.0854,70.0852,70.0853,70.0853,0,5,5,5,1,38 + 26,64,54,62,1,3.8509,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,70.0932,70.0934,70.0934,74.6062,2,0,74.6063,76.6011,76.6012,79.6037,79.6037,79.6037,0,6,6,6,1,108 / 2,54,56,64,2,4.5112,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,79.611,79.6114,79.6114,81.4141,2,0,81.4142,83.4105,83.4105,86.4101,86.4102,86.4102,0,7,7,7,1,15 * 2,30,27,26,2,1.7963,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,86.4184,86.4185,86.4186,89.1693,2,0,89.1695,91.169,91.169,94.168,94.1681,94.1681,0,8,8,8,1,30 - 14,16,17,18,2,2.745,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,94.175,94.1751,94.1752,96.1689,3,0,96.1691,98.1687,98.1687,101.165,101.165,101.165,0,9,9,9,1,13 * 2,26,24,23,3,1.989,,101.1736,116.169,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,116.1762,116.1763,116.1764,118.6436,3,0,118.6437,120.6436,120.6437,123.6467,123.6467,123.6468,0,10,10,10,1,31 + 10,41,39,32,3,2.4612,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,123.6556,123.6558,123.6558,126.3361,1,0,126.3362,128.3363,128.3363,131.3365,131.3365,131.3365,0,11,11,11,1,27 - 14,13,10,23,1,2.6778,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,131.3447,131.3449,131.3449,135.0436,2,0,135.0438,137.0395,137.0395,140.04,140.04,140.04,0,12,12,12,1,27 + 18,45,47,52,1,3.6902,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,140.0479,140.0481,140.0482,143.5059,2,0,143.5061,145.5004,145.5005,148.5023,148.5023,148.5023,0,13,13,13,1,37 + 18,55,47,45,2,3.4516,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,148.5102,148.5103,148.5103,151.8843,1,0,151.8844,153.8854,153.8854,156.8855,156.8855,156.8855,0,14,14,14,1,112 / 2,56,52,46,1,3.3657,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,156.8937,156.894,156.894,159.8146,2,0,159.8147,161.8106,161.8107,164.8133,164.8133,164.8133,0,15,15,15,1,110 / 2,55,59,57,2,2.9125,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,164.8226,164.8228,164.8228,168.0608,3,0,168.061,170.0604,170.0604,173.0608,173.061,173.061,0,16,16,16,1,22 + 14,36,46,38,3,3.2353,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,173.0704,173.0706,173.0706,176.4774,2,0,176.4775,178.4772,178.4773,181.4734,181.4734,181.4734,0,17,17,17,1,32 - 9,23,29,21,3,3.4043,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,181.4817,181.4818,181.4818,187.1854,3,0,187.1856,189.1797,189.1798,192.1764,192.1765,192.1765,0,18,18,18,1,18 * 3,54,52,44,3,5.6967,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,192.1853,192.1855,192.1855,195.5188,2,0,195.519,197.521,197.521,200.5194,200.5194,200.5194,0,19,19,19,1,33 - 6,27,29,26,2,3.3288,,200.5267,215.5273,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,215.5344,215.5346,215.5346,220.2818,3,0,220.282,222.2815,222.2817,225.2773,225.2774,225.2774,0,20,20,20,1,19 * 3,57,50,53,3,4.7402,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,225.2863,225.2865,225.2865,233.5316,2,0,233.5318,235.5314,235.5315,238.5273,238.5274,238.5274,0,21,21,21,1,140 / 4,45,35,42,1,8.2392,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,238.5355,238.5357,238.5357,245.744,1,0,245.7443,247.7417,247.7417,250.74,250.74,250.74,0,22,22,22,1,23 + 18,41,39,33,1,7.2006,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,250.748,250.7481,250.7481,256.5527,3,0,256.553,258.5486,258.5486,261.5481,261.5481,261.5481,0,23,23,23,1,128 / 2,64,60,62,3,5.7987,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,261.5563,261.5564,261.5564,265.819,2,0,265.8193,267.8192,267.8193,270.8192,270.8192,270.8193,0,24,24,24,1,39 - 11,28,26,27,2,4.2604,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,270.8269,270.827,270.8271,275.5274,1,0,275.5277,277.5265,277.5265,280.5272,280.5273,280.5273,0,25,25,25,1,23 + 9,32,31,29,1,4.6933,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,280.5358,280.5359,280.5359,286.8059,1,0,286.8062,288.8069,288.807,291.8069,291.8069,291.8069,0,26,26,26,1,142 / 2,71,72,74,1,6.2624,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,291.8158,291.816,291.816,297.5113,2,0,297.5116,299.5104,299.5104,302.5102,302.5103,302.5103,0,27,27,27,1,14 * 3,42,38,40,2,5.6883,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,302.5176,302.5178,302.5178,307.7158,3,0,307.716,309.7164,309.7164,312.7151,312.7152,312.7153,0,28,28,28,1,33 - 8,25,26,28,3,5.1961,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,312.7237,312.7238,312.7238,321.7694,1,0,321.7696,323.7682,323.7682,326.7695,326.7696,326.7696,0,29,29,29,1,37 + 26,63,53,65,1,9.0429,,326.7781,341.7744,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,341.7826,341.7829,341.7829,345.7946,1,0,345.7949,347.7944,347.7944,350.7945,350.7945,350.7945,0,30,30,30,1,34 - 8,26,20,32,1,4.0019,,,,,,,,,,,,,
