math_eq,CorrAns,dstr1,dstr2,CorrAns_key,thisN,thisTrialN,thisRepN,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_rest.thisRepN,loop_rest.thisTrialN,loop_rest.thisN,loop_rest.thisIndex,thisRow.t,notes,piloting,instruction_screen.started,text_instruction.started,key_resp_inst.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,set_options.started,set_options.stopped,trial.started,text_equation.started,text_opt1.started,text_opt2.started,text_opt3.started,trial.stopped,trials.key_resp_eq.keys,trials.key_resp_eq.corr,trials.key_resp_eq.rt,trials.key_resp_eq.duration,pause.started,text_2.started,text_2.stopped,pause.stopped,feedback.started,text_feedback.started,text_feedback.stopped,feedback.stopped,is_rest.started,is_rest.stopped,rest_screen.started,text.started,text.stopped,rest_screen.stopped,Q1.started,text_q1.started,key_resp_2.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,text_endscreen.started,key_resp.started,key_resp.stopped,text_endscreen.stopped,end_screen.stopped,key_resp.keys,participant,session,delay,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,False,0.0019851000397466123,0.007255800010170788,0.9986830000416376,24.63756870001089,space,23.622373800026253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,1,short,A,2026-07-09_14h24.37.086,arithmetic_task,,2026.1.3,120.04038152849347,2026-07-09 14h24.37.180484 -0400,
42 - 9,33,31,23,2,0,0,0,2,0,6.054588700004388,None,0,0,0,0,,,,,24.683006300008856,,,,,,,,,,24.665379700018093,24.6656423000386,24.67843329999596,24.683006300008856,24.683006300008856,24.683006300008856,24.683006300008856,30.74132800003281,2,0,6.054588700004388,None,30.741462300007697,30.748955200018827,32.74067050003214,32.732809100009035,32.73676010000054,32.74067050003214,35.73961580003379,35.72407880000537,35.72411489998922,35.72430240001995,,,,,,,,,,,,,,,,,,,464,1,short,A,2026-07-09_14h24.37.086,arithmetic_task,,2026.1.3,120.04038152849347,2026-07-09 14h24.37.180484 -0400,
11 * 3,33,31,38,1,1,1,0,1,0,1.4121030999813229,None,0,1,1,1,,,,,35.73961580003379,,,,,,,,,,35.72789229999762,35.7281097000232,35.73666430002777,35.73961580003379,35.73961580003379,35.73961580003379,35.73961580003379,37.14976659999229,1,0,1.4121030999813229,None,37.149933300039265,37.15764680004213,39.149222500040196,39.14128610002808,39.141321400005836,39.149222500040196,42.14958770002704,42.13279970001895,42.13282689999323,42.133016300038435,,,,,,,,,,,,,,,,,,,464,1,short,A,2026-07-09_14h24.37.086,arithmetic_task,,2026.1.3,120.04038152849347,2026-07-09 14h24.37.180484 -0400,
118 / 2,59,63,57,2,2,2,0,2,0,4.873980900039896,None,0,2,2,2,,,,,42.14958770002704,,,,,,,,,,42.13659720000578,42.136803600005805,42.14702979999129,42.14958770002704,42.14958770002704,42.14958770002704,42.14958770002704,47.02539359999355,2,0,4.873980900039896,None,47.02553029998671,47.03251280001132,49.02423079998698,49.01658729999326,49.01662770000985,49.02423079998698,52.021156800037716,52.0076670999988,52.00769500003662,52.00787750002928,,,,,,,,,,,,,,,,,,,464,1,short,A,2026-07-09_14h24.37.086,arithmetic_task,,2026.1.3,120.04038152849347,2026-07-09 14h24.37.180484 -0400,
36 - 13,23,28,22,2,3,3,0,3,0,4.090743500040844,None,0,3,3,3,,,,,52.021156800037716,,,,,,,,,,52.01150120003149,52.01170800003456,52.01840559998527,52.021156800037716,52.021156800037716,52.021156800037716,52.021156800037716,56.11688929999946,3,0,4.090743500040844,None,56.1170377000235,56.124376700026914,58.11619160004193,58.10788720002165,58.11057930003153,58.11619160004193,61.11149390001083,61.09970630001044,61.099733599985484,61.099917499988806,,,,,,,,,,,,,,,,,,,464,1,short,A,2026-07-09_14h24.37.086,arithmetic_task,,2026.1.3,120.04038152849347,2026-07-09 14h24.37.180484 -0400,
38 - 12,26,23,36,2,4,4,0,2,0,3.4953467000159435,None,0,4,4,4,,,,,61.11149390001083,,,,,,,,,,61.10359590000007,61.103802900004666,61.109078800014686,61.11149390001083,61.11149390001083,61.11149390001083,61.11149390001083,64.60879369999748,2,0,3.4953467000159435,None,64.608927400026,64.61596720002126,66.60770500003127,66.59971660003066,66.60118440003134,66.60770500003127,69.60552470001858,69.59148539998569,69.59151310002198,69.59169989998918,,,,,,,,,,,,,,,,,,,464,1,short,A,2026-07-09_14h24.37.086,arithmetic_task,,2026.1.3,120.04038152849347,2026-07-09 14h24.37.180484 -0400,
38 + 26,64,54,62,1,5,5,0,1,0,4.378090400015935,None,0,5,5,5,,,,,69.60552470001858,,,,,,,,,,69.59540370001923,69.59561890002806,69.60300420003477,69.60552470001858,69.60552470001858,69.60552470001858,69.60552470001858,73.98379450000357,1,0,4.378090400015935,None,73.98393420001958,73.99131910002325,75.9834392000339,75.97503570001572,75.97507260000566,75.9834392000339,78.97985689999769,78.9667511000298,78.96677860000636,78.96696320001502,,,,,,,,,,,,,,,,,,,464,1,short,A,2026-07-09_14h24.37.086,arithmetic_task,,2026.1.3,120.04038152849347,2026-07-09 14h24.37.180484 -0400,
108 / 2,54,56,64,2,6,6,0,2,0,2.5391483000130393,None,0,6,6,6,,,,,78.97985689999769,,,,,,,,,,78.97072159999516,78.97092829999747,78.97711420000996,78.97985689999769,78.97985689999769,78.97985689999769,78.97985689999769,81.51714619999984,2,0,2.5391483000130393,None,81.51730350003345,81.52444230002584,83.51625779998722,83.50823620002484,83.50827230000868,83.51625779998722,86.51437769999029,86.4999536999967,86.49998110003071,86.50016970001161,,,,,,,,,,,,,,,,,,,464,1,short,A,2026-07-09_14h24.37.086,arithmetic_task,,2026.1.3,120.04038152849347,2026-07-09 14h24.37.180484 -0400,
15 * 2,30,27,26,2,7,7,0,2,0,2.5889633999904618,None,0,7,7,7,,,,,86.51437769999029,,,,,,,,,,86.50384250003844,86.5040765000158,86.51153560000239,86.51437769999029,86.51437769999029,86.51437769999029,86.51437769999029,89.10900210001273,2,0,2.5889633999904618,None,89.10913600004278,89.11650300002657,91.10842180001782,91.10053890000563,91.10057489998871,91.10842180001782,94.10439029999543,94.09237860003486,94.09240640001372,94.09259070002008,,,,,,,,,,,,,,,,,,,464,1,short,A,2026-07-09_14h24.37.086,arithmetic_task,,2026.1.3,120.04038152849347,2026-07-09 14h24.37.180484 -0400,
30 - 14,16,17,18,2,8,8,0,2,0,1.703181799966842,None,0,8,8,8,,,,,94.10439029999543,,,,,,,,,,94.09638400003314,94.09659979998833,94.1020268999855,94.10439029999543,94.10439029999543,94.10439029999543,94.10439029999543,95.80923350004014,2,0,1.703181799966842,None,95.80936489999294,95.81692220002878,97.80852550000418,97.8001923999982,97.80022969999118,97.80852550000418,100.80467919999501,100.7923543000361,100.7923817000119,100.7925680000335,,,,,,,,,,,,,,,,,,,464,1,short,A,2026-07-09_14h24.37.086,arithmetic_task,,2026.1.3,120.04038152849347,2026-07-09 14h24.37.180484 -0400,
