math_eq,CorrAns,dstr1,dstr2,CorrAns_key,thisN,thisTrialN,thisRepN,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_rest.thisRepN,loop_rest.thisTrialN,loop_rest.thisN,loop_rest.thisIndex,thisRow.t,notes,piloting,instruction_screen.started,text_instruction.started,key_resp_inst.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,set_options.started,set_options.stopped,trial.started,text_equation.started,text_opt1.started,text_opt2.started,text_opt3.started,trial.stopped,trials.key_resp_eq.keys,trials.key_resp_eq.corr,pause.started,text_2.started,text_2.stopped,pause.stopped,feedback.started,text_feedback.started,text_feedback.stopped,feedback.stopped,is_rest.started,is_rest.stopped,trials.key_resp_eq.rt,trials.key_resp_eq.duration,rest_screen.started,text.started,text.stopped,rest_screen.stopped,Q1.started,text_q1.started,key_resp_2.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,text_endscreen.started,key_resp.started,key_resp.stopped,text_endscreen.stopped,end_screen.stopped,key_resp.keys,participant,session,delay,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,False,0.00218410009983927,0.00590730004478246,0.9981663000071421,15.672446400043555,space,14.658652300015092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
42 - 9,33,31,23,2,0,0,0,None,0,,,0,0,0,0,,,,,15.711316000088118,,,,,,,,,,15.691208700067364,15.691482500056736,15.70647790003568,15.711316000088118,15.711316000088118,15.711316000088118,15.711316000088118,25.69855870003812,None,0,25.698726400034502,25.70628210005816,27.697995500057004,27.6901869000867,27.69439620000776,27.697995500057004,30.69815990002826,30.68197560007684,30.682000900036655,30.68218430003617,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
11 * 3,33,31,38,1,1,1,0,1,0,1.7452106999699026,None,0,1,1,1,,,,,30.69815990002826,,,,,,,,,,30.685750300064683,30.68595420010388,30.69548210001085,30.69815990002826,30.69815990002826,30.69815990002826,30.69815990002826,32.44894470006693,1,0,32.44910160009749,32.456517000100575,34.448443600093015,34.44071920006536,34.442937900079414,34.448443600093015,37.449303600005805,37.43214740010444,37.432175300084054,37.43236209999304,1.7452106999699026,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
118 / 2,59,63,57,2,2,2,0,1,0,5.859121500048786,None,0,2,2,2,,,,,37.449303600005805,,,,,,,,,,37.43595730001107,37.43616000004113,37.44640940008685,37.449303600005805,37.449303600005805,37.449303600005805,37.449303600005805,43.30727260001004,1,0,43.30740809999406,43.31548280001152,45.30645999999251,45.29887250007596,45.30038130003959,45.30645999999251,48.304532000096515,48.29060780000873,48.29063500009943,48.29082770005334,5.859121500048786,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
36 - 13,23,28,22,2,3,3,0,2,0,3.4989820999326184,None,0,3,3,3,,,,,48.304532000096515,,,,,,,,,,48.294494200032204,48.29469930008054,48.3013872000156,48.304532000096515,48.304532000096515,48.304532000096515,48.304532000096515,51.80735660006758,2,0,51.80751690000761,51.815195900038816,53.80674890009686,53.798988300026394,53.8004796000896,53.80674890009686,56.80292020004708,56.79085790005047,56.790887300041504,56.79107420006767,3.4989820999326184,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
38 - 12,26,23,36,2,4,4,0,2,0,3.929095400031656,None,0,4,4,4,,,,,56.80292020004708,,,,,,,,,,56.79475520004053,56.79496050009038,56.8002726000268,56.80292020004708,56.80292020004708,56.80292020004708,56.80292020004708,60.732698400039226,2,0,60.73285270004999,60.74047540000174,62.73231610003859,62.72426810010802,62.72430380003061,62.73231610003859,65.72989550000057,65.71576620009728,65.71579260006547,65.71598300000187,3.929095400031656,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
38 + 26,64,54,62,1,5,5,0,2,0,5.7690101999323815,None,0,5,5,5,,,,,65.72989550000057,,,,,,,,,,65.71962150000036,65.71982800005935,65.7272735000588,65.72989550000057,65.72989550000057,65.72989550000057,65.72989550000057,71.49947380006779,2,0,71.49962610006332,71.50709270010702,73.49908530001994,73.49069840006996,73.49219940009061,73.49908530001994,76.49546230002306,76.48292350000702,76.48295060009696,76.48313559999224,5.7690101999323815,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
108 / 2,54,56,64,2,6,6,0,1,0,3.339495100080967,None,0,6,6,6,,,,,76.49546230002306,,,,,,,,,,76.48688810004387,76.48709370009601,76.49293220008258,76.49546230002306,76.49546230002306,76.49546230002306,76.49546230002306,79.84105320007075,1,0,79.84122930001467,79.84875520004425,81.84031840006355,81.83283130009659,81.83286750002299,81.84031840006355,84.83870070008561,84.8246061000973,84.82463320007082,84.82482410001103,3.339495100080967,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
15 * 2,30,27,26,2,7,7,0,2,0,1.3007016000337899,None,0,7,7,7,,,,,84.83870070008561,,,,,,,,,,84.82854820007924,84.82876290008426,84.8359683000017,84.83870070008561,84.83870070008561,84.83870070008561,84.83870070008561,86.14139460003935,2,0,86.14154820004478,86.1487850000849,88.14071940002032,88.13259660010226,88.13404630008154,88.14071940002032,91.13660890003666,91.12423790001776,91.12426480010618,91.12445330002811,1.3007016000337899,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
30 - 14,16,17,18,2,8,8,0,2,0,4.5874039001064375,None,0,8,8,8,,,,,91.13660890003666,,,,,,,,,,91.1278649000451,91.12807480001356,91.13381790008862,91.13660890003666,91.13660890003666,91.13660890003666,91.13660890003666,95.7249747000169,2,0,95.7251310000429,95.73245270003099,97.7241874000756,97.71626020001713,97.71629610005766,97.7241874000756,100.7199598000152,100.7078640999971,100.7078918000916,100.70808150002267,4.5874039001064375,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
