Participant,enc_relatedness_keys,cat_keys,cat_colors,d_lbl_keys,o_lbl_keys
101,1,1,0,1,1
102,0,1,0,1,0
103,0,0,0,0,1
104,1,0,1,0,0
105,0,0,0,1,1
106,0,1,1,1,1
107,1,0,1,1,0
108,1,1,1,1,0
109,0,1,1,0,1
110,1,0,0,1,0
111,1,0,1,1,1
112,1,0,0,1,1
113,0,1,0,1,1
114,1,1,0,0,1
115,1,1,1,1,1
116,0,1,0,0,1
117,0,0,1,1,1
118,0,0,1,0,0
119,1,1,1,0,1
120,0,0,0,1,0
121,1,1,1,0,0
122,1,0,1,0,1
123,0,1,1,0,0
124,0,0,1,0,1
125,0,1,1,1,0
126,1,0,0,0,0
127,1,1,0,1,0
128,1,0,0,0,1
129,0,0,0,0,0
130,1,1,0,0,0
131,0,0,1,1,0
132,0,1,0,0,0
133,1,1,0,1,1
134,0,1,0,1,0
135,1,0,1,0,0
136,0,0,0,1,1
137,0,1,1,1,1
138,1,1,1,1,0
139,1,0,0,1,0
140,1,0,1,1,1
141,1,0,0,1,1
142,0,1,0,1,1
143,1,1,0,0,1
144,1,1,1,1,1
145,0,1,0,0,1
146,0,0,1,0,0
147,1,1,1,0,1
148,0,1,1,1,0
149,1,0,0,0,0
150,1,1,0,1,0
