Participant,enc_relatedness_keys,cat_keys,cat_colors,d_lbl_keys,o_lbl_keys
201,1,1,0,1,1
202,0,1,0,1,0
203,0,0,0,0,1
204,1,0,1,0,0
205,0,0,0,1,1
206,0,1,1,1,1
207,1,0,1,1,0
208,1,1,1,1,0
209,0,1,1,0,1
210,1,0,0,1,0
211,1,0,1,1,1
212,1,0,0,1,1
213,0,1,0,1,1
214,1,1,0,0,1
215,1,1,1,1,1
216,0,1,0,0,1
217,0,0,1,1,1
218,0,0,1,0,0
219,1,1,1,0,1
220,0,0,0,1,0
221,1,1,1,0,0
222,1,0,1,0,1
223,0,1,1,0,0
224,0,0,1,0,1
225,0,1,1,1,0
226,1,0,0,0,0
227,1,1,0,1,0
228,1,0,0,0,1
229,0,0,0,0,0
230,1,1,0,0,0
231,0,0,1,1,0
232,0,1,0,0,0
233,1,1,0,1,1
234,0,1,0,1,0
235,0,0,0,0,1
236,1,0,1,0,0
237,0,0,0,1,1
238,0,1,1,1,1
239,1,0,1,1,0
240,1,1,1,1,0
241,0,1,1,0,1
242,1,0,0,1,0
243,1,0,1,1,1
244,1,0,0,1,1
245,0,1,0,1,1
246,1,1,0,0,1
247,1,1,1,1,1
248,0,1,0,0,1
249,0,0,1,1,1
250,0,0,1,0,0
251,1,1,1,0,1
252,0,0,0,1,0
253,1,1,1,0,0
254,1,0,1,0,1
255,0,1,1,0,0
256,0,0,1,0,1
257,0,1,1,1,0
258,1,0,0,0,0
259,1,1,0,1,0
260,1,0,0,0,1
261,0,0,0,0,0
262,1,1,0,0,0
263,0,0,1,1,0
264,0,1,0,0,0
