9.7953 	WARNING 	Requested an unavailable screen number - using first available.
9.7974 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [2560, 1440]. Using actual size
14.5600 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.5646 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.5855 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.5895 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.5934 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.5975 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.6014 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.6053 	WARNING 	Font b'Open Sans' was requested. No similar font found.
76.6878 	WARNING 	Requested image 'stimuli/scenes/scene_J1.png' not found but similar filename 'stimuli/scenes/scene_J1.jpg' exists. This will be used instead but changing the filename is advised.
76.7117 	WARNING 	Requested image 'stimuli/scenes/scene_J2.png' not found but similar filename 'stimuli/scenes/scene_J2.jpg' exists. This will be used instead but changing the filename is advised.
76.7581 	WARNING 	Requested image 'stimuli/scenes/scene_U1.png' not found but similar filename 'stimuli/scenes/scene_U1.jpg' exists. This will be used instead but changing the filename is advised.
76.7982 	WARNING 	Requested image 'stimuli/scenes/scene_U2.png' not found but similar filename 'stimuli/scenes/scene_U2.jpg' exists. This will be used instead but changing the filename is advised.
