run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,between_run_inst.thisRepN,between_run_inst.thisTrialN,between_run_inst.thisN,between_run_inst.thisIndex,thisRow.t,notes,piloting,get_relatedness_keys.started,get_relatedness_keys.stopped,instructions_screen.started,text_instructions.started,key_welcome.started,instructions_screen.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,instruction_keys.started,text_keys.started,key_resp_keysInst.started,instruction_keys.stopped,key_resp_keysInst.keys,key_resp_keysInst.rt,key_resp_keysInst.duration,scene_names_reminder.started,text_reminder.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_reminder.started,scene_names_reminder.stopped,key_reminder.keys,key_reminder.rt,key_reminder.duration,blank2000.started,text_2.started,text_2.stopped,blank2000.stopped,get_run_stim_list.started,get_run_stim_list.stopped,scene_item_presentation.started,image_scene.started,image_item.started,scene_item_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,text_congruency.stopped,key_resp_congruency.stopped,congruency_response.stopped,trials.key_resp_congruency.keys,trials.key_resp_congruency.corr,blank1000.started,text.started,text.stopped,blank1000.stopped,trials.key_resp_congruency.rt,trials.key_resp_congruency.duration,image_scene.stopped,image_item.stopped,is_last_run.started,is_last_run.stopped,between_run_pause.started,text_run_pause.started,text_relatedness_pause.started,key_resp_next_run.started,between_run_pause.stopped,between_run_inst.key_resp_next_run.keys,between_run_inst.key_resp_next_run.rt,between_run_inst.key_resp_next_run.duration,end_screen.started,text_end.started,key_end.started,end_screen.stopped,key_end.keys,key_end.rt,key_end.duration,participant,session,delay,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0025581999798305333,0.002930199960246682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,1,short,A,2026-07-10_10h16.11.098,SBL_superimposed_encoding,,2026.1.3,120.6736970761365,2026-07-10 10h16.11.316225 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029597999528050423,0.008589099976234138,1.000405500002671,11.838779299985617,space,10.81979560002219,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,1,short,A,2026-07-10_10h16.11.098,SBL_superimposed_encoding,,2026.1.3,120.6736970761365,2026-07-10 10h16.11.316225 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.865437100001145,11.86832670000149,11.86832670000149,15.084368799987715,space,3.2150686999666505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,1,short,A,2026-07-10_10h16.11.098,SBL_superimposed_encoding,,2026.1.3,120.6736970761365,2026-07-10 10h16.11.316225 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.219008999993093,15.295907899970189,15.295907899970189,15.295907899970189,15.295907899970189,15.295907899970189,15.295907899970189,15.295907899970189,15.295907899970189,15.295907899970189,17.075829799985513,49.05228179995902,space,31.975668099999893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,1,short,A,2026-07-10_10h16.11.098,SBL_superimposed_encoding,,2026.1.3,120.6736970761365,2026-07-10 10h16.11.316225 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.05232590000378,49.05930669995723,51.11789029999636,51.042866399977356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,1,short,A,2026-07-10_10h16.11.098,SBL_superimposed_encoding,,2026.1.3,120.6736970761365,2026-07-10 10h16.11.316225 -0400,
1,0,0,0,stimuli/scenes/scene_J2.jpg,Jungle,Negvi,stimuli/items/jungle_object_19.png,Jungle,object,sc,None,0,,,0,0,0,0,0,0,0,0,,,,,51.11789029999636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.05657419998897,51.05682880000677,51.11098979995586,51.11789029999636,51.11789029999636,53.06022539996775,53.06347160000587,53.06789740000386,53.06789740000386,54.05951379996259,54.05951379996259,54.05176619999111,None,0,54.05181309999898,54.05951379996259,55.08363129995996,55.04346199997235,,,,,,,,,,,,,,,,,,,,,,203,1,short,A,2026-07-10_10h16.11.098,SBL_superimposed_encoding,,2026.1.3,120.6736970761365,2026-07-10 10h16.11.316225 -0400,
1,1,1,0,stimuli/scenes/scene_J1.jpg,Jungle,Malbow,stimuli/items/jungle_object_9.png,Jungle,object,sc,None,0,,,0,0,0,0,0,1,1,1,,,,,55.08363129995996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.07323769998038,55.08363129995996,55.08363129995996,57.060225899971556,57.06032349995803,57.06786819995614,57.06786819995614,58.05946479999693,58.05946479999693,58.051659299992025,None,0,58.05170700000599,58.05946479999693,59.075725900009274,59.04319699999178,,,,,,,,,,,,,,,,,,,,,,203,1,short,A,2026-07-10_10h16.11.098,SBL_superimposed_encoding,,2026.1.3,120.6736970761365,2026-07-10 10h16.11.316225 -0400,
1,2,2,0,stimuli/scenes/scene_J2.jpg,Jungle,Negvi,stimuli/items/jungle_animal_16.png,Jungle,animal,sc,q,1,0.7523465999984182,None,0,0,0,0,0,2,2,2,,,,,59.075725900009274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.06615159998182,59.075725900009274,59.075725900009274,61.059986100008246,61.06003090000013,61.067817999981344,61.067817999981344,,,61.826977299991995,q,1,61.82703629997559,61.834394999954384,62.85837609996088,62.818399799987674,0.7523465999984182,None,,,,,,,,,,,,,,,,,,,,203,1,short,A,2026-07-10_10h16.11.098,SBL_superimposed_encoding,,2026.1.3,120.6736970761365,2026-07-10 10h16.11.316225 -0400,
1,3,3,0,stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/jungle_animal_3.png,Jungle,animal,si,p,1,0.6731353999930434,None,0,0,0,0,0,3,3,3,,,,,62.85837609996088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.84699249995174,62.85837609996088,62.85837609996088,64.83503759995801,64.83508299995447,64.84290829999372,64.84290829999372,,,65.51827020000201,p,1,65.51832909998484,65.52647119999165,66.54304159997264,66.50964889995521,0.6731353999930434,None,,,,,,,,,,,,,,,,,,,,203,1,short,A,2026-07-10_10h16.11.098,SBL_superimposed_encoding,,2026.1.3,120.6736970761365,2026-07-10 10h16.11.316225 -0400,
1,4,4,0,stimuli/scenes/scene_J2.jpg,Jungle,Negvi,stimuli/items/undersea_object_11.png,Undersea,object,si,p,1,0.6774098000023514,None,0,0,0,0,0,4,4,4,,,,,66.54304159997264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.53526809997857,66.54304159997264,66.54304159997264,68.52729659999022,68.52739499998279,68.53474209998967,68.53474209998967,,,69.21841049997602,p,1,69.21847079996951,69.2263047999586,70.24412909999955,70.20983619999606,0.6774098000023514,None,,,,,,,,,,,,,,,,,,,,203,1,short,A,2026-07-10_10h16.11.098,SBL_superimposed_encoding,,2026.1.3,120.6736970761365,2026-07-10 10h16.11.316225 -0400,
