run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,between_run_inst.thisRepN,between_run_inst.thisTrialN,between_run_inst.thisN,between_run_inst.thisIndex,thisRow.t,notes,piloting,get_relatedness_keys.started,get_relatedness_keys.stopped,instructions_screen.started,text_instructions.started,key_welcome.started,instructions_screen.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,instruction_keys.started,text_keys.started,key_resp_keysInst.started,instruction_keys.stopped,key_resp_keysInst.keys,key_resp_keysInst.rt,key_resp_keysInst.duration,scene_names_reminder.started,text_reminder.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_reminder.started,scene_names_reminder.stopped,key_reminder.keys,key_reminder.rt,key_reminder.duration,blank2000.started,text_2.started,text_2.stopped,blank2000.stopped,get_run_stim_list.started,get_run_stim_list.stopped,scene_item_presentation.started,image_scene.started,image_item.started,scene_item_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,congruency_response.stopped,trials.key_resp_congruency.keys,trials.key_resp_congruency.corr,trials.key_resp_congruency.rt,trials.key_resp_congruency.duration,blank1000.started,text.started,text.stopped,blank1000.stopped,text_congruency.stopped,key_resp_congruency.stopped,is_last_run.started,is_last_run.stopped,between_run_pause.started,text_run_pause.started,text_relatedness_pause.started,key_resp_next_run.started,between_run_pause.stopped,between_run_inst.key_resp_next_run.keys,between_run_inst.key_resp_next_run.rt,between_run_inst.key_resp_next_run.duration,image_scene.stopped,image_item.stopped,end_screen.started,text_end.started,key_end.started,end_screen.stopped,key_end.keys,key_end.rt,key_end.duration,participant,session,delay,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.002504299976862967,0.0028298000106588006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_09h49.27.087,SBL_superimposed_encoding,,2026.1.3,119.58346692606703,2026-07-13 09h49.27.283603 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028662000549957156,0.00940380000974983,1.0010679999832064,6.6765357999829575,space,5.6586833000183105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_09h49.27.087,SBL_superimposed_encoding,,2026.1.3,119.58346692606703,2026-07-13 09h49.27.283603 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.703282600035891,6.705890699988231,6.705890699988231,30.98522969998885,space,24.274034600006416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_09h49.27.087,SBL_superimposed_encoding,,2026.1.3,119.58346692606703,2026-07-13 09h49.27.283603 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.129014800069854,31.206744600087404,31.206744600087404,31.206744600087404,31.206744600087404,31.206744600087404,31.206744600087404,31.206744600087404,31.206744600087404,31.206744600087404,32.97665060008876,119.89500420005061,space,86.91493070009165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_09h49.27.087,SBL_superimposed_encoding,,2026.1.3,119.58346692606703,2026-07-13 09h49.27.283603 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.8950521000661,119.9027810000116,121.96823390002828,121.88641540007666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_09h49.27.087,SBL_superimposed_encoding,,2026.1.3,119.58346692606703,2026-07-13 09h49.27.283603 -0400,
1,0,0,0,stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/undersea_animal_14.png,Undersea,animal,sc,p,1,0.9399224000517279,None,0,0,0,0,0,0,0,0,,,,,121.96823390002828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.90012670005672,121.90036349999718,121.9555762000382,121.96823390002828,121.96823390002828,123.90356300002895,123.90694500005338,123.91120059997775,123.91120059997775,124.85373089998029,p,1,0.9399224000517279,None,124.85379050008487,124.86120010004379,125.88503140001558,125.84496290003881,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_09h49.27.087,SBL_superimposed_encoding,,2026.1.3,119.58346692606703,2026-07-13 09h49.27.283603 -0400,
1,1,1,0,stimuli/scenes/scene_J1.jpg,Jungle,Malbow,stimuli/items/undersea_object_14.png,Undersea,object,si,q,1,0.6145774000324309,None,0,0,0,0,0,1,1,1,,,,,125.88503140001558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.8743299000198,125.88503140001558,125.88503140001558,127.86187110003084,127.8619672000641,127.86944030004088,127.86944030004088,128.4868637000909,q,1,0.6145774000324309,None,128.48692390008364,128.4944021999836,129.51000140001997,129.47839190007653,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_09h49.27.087,SBL_superimposed_encoding,,2026.1.3,119.58346692606703,2026-07-13 09h49.27.283603 -0400,
1,2,2,0,stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/undersea_object_9.png,Undersea,object,sc,p,1,0.5725202999310568,None,0,0,0,0,0,2,2,2,,,,,129.51000140001997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.49981900001876,129.51000140001997,129.51000140001997,131.4871364000719,131.48723410000093,131.49451119999867,131.49451119999867,132.070341499988,p,1,0.5725202999310568,None,132.07040010008495,132.07778980000876,133.1004984000465,133.06152910005767,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_09h49.27.087,SBL_superimposed_encoding,,2026.1.3,119.58346692606703,2026-07-13 09h49.27.283603 -0400,
1,3,3,0,stimuli/scenes/scene_U2.jpg,Undersea,Negvi,stimuli/items/jungle_animal_10.png,Jungle,animal,si,q,1,0.43708159995730966,None,0,0,0,0,0,3,3,3,,,,,133.1004984000465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.09020199999213,133.1004984000465,133.1004984000465,135.07863170001656,135.07867680001073,135.0860304000089,135.0860304000089,135.52893220004626,q,1,0.43708159995730966,None,135.52899090002757,135.5362080000341,136.55264950008132,136.51985170005355,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_09h49.27.087,SBL_superimposed_encoding,,2026.1.3,119.58346692606703,2026-07-13 09h49.27.283603 -0400,
1,4,4,0,stimuli/scenes/scene_J1.jpg,Jungle,Malbow,stimuli/items/jungle_animal_20.png,Jungle,animal,sc,p,1,0.27448160003405064,None,0,0,0,0,0,4,4,4,,,,,136.55264950008132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.5443379000062,136.55264950008132,136.55264950008132,138.5369751000544,138.53702869999688,138.54466720006894,138.54466720006894,138.82028490002267,p,1,0.27448160003405064,None,138.82034530001692,138.82811860006768,139.84414469997864,139.81191390007734,,,,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_09h49.27.087,SBL_superimposed_encoding,,2026.1.3,119.58346692606703,2026-07-13 09h49.27.283603 -0400,
