scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency
stimuli/scenes/scene_J2.jpg,Jungle,Tulon,stimuli/items/jungle_object_19.png,Jungle,object,sc
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/jungle_object_16.png,Jungle,object,si
stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/undersea_object_10.png,Undersea,object,sc
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/jungle_animal_13.png,Jungle,animal,si
stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/jungle_object_12.png,Jungle,object,si
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/jungle_object_17.png,Jungle,object,si
stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/jungle_animal_1.png,Jungle,animal,si
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/jungle_animal_10.png,Jungle,animal,si
stimuli/scenes/scene_J1.jpg,Jungle,Negvi,stimuli/items/jungle_object_3.png,Jungle,object,sc
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/jungle_object_4.png,Jungle,object,si
stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/jungle_animal_19.png,Jungle,animal,si
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/jungle_object_10.png,Jungle,object,si
stimuli/scenes/scene_J1.jpg,Jungle,Negvi,stimuli/items/jungle_animal_2.png,Jungle,animal,sc
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/jungle_animal_18.png,Jungle,animal,si
stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/jungle_object_8.png,Jungle,object,si
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/undersea_object_6.png,Undersea,object,sc
stimuli/scenes/scene_J1.jpg,Jungle,Negvi,stimuli/items/undersea_animal_13.png,Undersea,animal,si
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/undersea_object_12.png,Undersea,object,sc
stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/jungle_animal_3.png,Jungle,animal,si
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/undersea_object_18.png,Undersea,object,sc
stimuli/scenes/scene_J2.jpg,Jungle,Tulon,stimuli/items/jungle_object_1.png,Jungle,object,sc
stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/jungle_object_7.png,Jungle,object,si
stimuli/scenes/scene_J2.jpg,Jungle,Tulon,stimuli/items/undersea_object_16.png,Undersea,object,si
stimuli/scenes/scene_J1.jpg,Jungle,Negvi,stimuli/items/jungle_animal_6.png,Jungle,animal,sc
stimuli/scenes/scene_J2.jpg,Jungle,Tulon,stimuli/items/undersea_animal_10.png,Undersea,animal,si
stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/undersea_animal_19.png,Undersea,animal,sc
stimuli/scenes/scene_J2.jpg,Jungle,Tulon,stimuli/items/undersea_object_4.png,Undersea,object,si
stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/jungle_animal_17.png,Jungle,animal,si
stimuli/scenes/scene_J1.jpg,Jungle,Negvi,stimuli/items/jungle_animal_14.png,Jungle,animal,sc
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/undersea_animal_3.png,Undersea,animal,sc
stimuli/scenes/scene_J1.jpg,Jungle,Negvi,stimuli/items/undersea_object_1.png,Undersea,object,si
stimuli/scenes/scene_U2.jpg,Undersea,Malbow,stimuli/items/jungle_animal_5.png,Jungle,animal,si
stimuli/scenes/scene_J1.jpg,Jungle,Negvi,stimuli/items/undersea_animal_2.png,Undersea,animal,si
stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/undersea_animal_17.png,Undersea,animal,sc
stimuli/scenes/scene_J2.jpg,Jungle,Tulon,stimuli/items/undersea_animal_12.png,Undersea,animal,si
stimuli/scenes/scene_J1.jpg,Jungle,Negvi,stimuli/items/jungle_animal_16.png,Jungle,animal,sc
