Participant,enc_relatedness_keys,cat_keys,cat_colors,d_lbl_keys,o_lbl_keys
2001,1,1,0,1,1
2002,0,1,0,1,0
2003,0,0,0,0,1
2004,1,0,1,0,0
2005,0,0,0,1,1
2006,0,1,1,1,1
2007,1,0,1,1,0
2008,1,1,1,1,0
2009,0,1,1,0,1
2010,1,0,0,1,0
2011,1,0,1,1,1
2012,1,0,0,1,1
2013,0,1,0,1,1
2014,1,1,0,0,1
2015,1,1,1,1,1
2016,0,1,0,0,1
2017,0,0,1,1,1
2018,0,0,1,0,0
2019,1,1,1,0,1
2020,0,0,0,1,0
2021,1,1,1,0,0
2022,1,0,1,0,1
2023,0,1,1,0,0
2024,0,0,1,0,1
2025,0,1,1,1,0
2026,1,0,0,0,0
2027,1,1,0,1,0
2028,1,0,0,0,1
2029,0,0,0,0,0
2030,1,1,0,0,0
2031,0,0,1,1,0
2032,0,1,0,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
