Participant,enc_relatedness_keys,cat_keys,cat_colors,d_lbl_keys,o_lbl_keys
1001,1,1,0,1,1
1002,0,1,0,1,0
1003,0,0,0,0,1
1004,1,0,1,0,0
1005,0,0,0,1,1
1006,0,1,1,1,1
1007,1,0,1,1,0
1008,1,1,1,1,0
1009,0,1,1,0,1
1010,1,0,0,1,0
1011,1,0,1,1,1
1012,1,0,0,1,1
1013,0,1,0,1,1
1014,1,1,0,0,1
1015,1,1,1,1,1
1016,0,1,0,0,1
1017,0,0,1,1,1
1018,0,0,1,0,0
1019,1,1,1,0,1
1020,0,0,0,1,0
1021,1,1,1,0,0
1022,1,0,1,0,1
1023,0,1,1,0,0
1024,0,0,1,0,1
1025,0,1,1,1,0
1026,1,0,0,0,0
1027,1,1,0,1,0
1028,1,0,0,0,1
1029,0,0,0,0,0
1030,1,1,0,0,0
1031,0,0,1,1,0
1032,0,1,0,0,0
