scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,key_sceneLearn.keys,key_sceneLearn.rt,key_sceneLearn.duration,scene_cat,item_stimulus,item_cat,item_type,congruency,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,trials_part1.thisRepN,trials_part1.thisTrialN,trials_part1.thisN,trials_part1.thisIndex,skip_to_part4_debug.thisRepN,skip_to_part4_debug.thisTrialN,skip_to_part4_debug.thisN,skip_to_part4_debug.thisIndex,trials_enc.thisRepN,trials_enc.thisTrialN,trials_enc.thisN,trials_enc.thisIndex,thisRow.t,notes,piloting,get_sub_vars.started,get_sub_vars.stopped,overall_instructions.started,text_instructions.started,key_welcome.started,overall_instructions.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,part1_instructions.started,text_instructions_part1.started,key_instructions_part1.started,part1_instructions.stopped,key_instructions_part1.keys,key_instructions_part1.rt,key_instructions_part1.duration,part1.started,scene_image_part1.started,scene_name_part1.started,text_scenename.started,text_memorize.started,key_sceneLearn.started,part1.stopped,trials_part1.key_sceneLearn.keys,trials_part1.key_sceneLearn.rt,trials_part1.key_sceneLearn.duration,part1_instructions_2.started,text_instructions_part1_2.started,key_instructions_part1_2.started,part1_instructions_2.stopped,key_instructions_part1_2.keys,key_instructions_part1_2.rt,key_instructions_part1_2.duration,part1_compare.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_compare.started,part1_compare.stopped,key_compare.keys,key_compare.rt,key_compare.duration,part4_instructions.started,text_part4_instructions.started,key_part4_instructions.started,part4_instructions.stopped,key_part4_instructions.keys,key_part4_instructions.rt,key_part4_instructions.duration,enc_instruction_screen.started,text_enc_instruction.started,key_proceed.started,enc_instruction_screen.stopped,key_proceed.keys,key_proceed.rt,key_proceed.duration,enc_inst_2.started,text_relatedness_keys.started,key_proceed_2.started,enc_inst_2.stopped,key_proceed_2.keys,key_proceed_2.rt,key_proceed_2.duration,get_stim_list.started,get_stim_list.stopped,scene_item_presentation.started,image_scene.started,image_item.started,scene_item_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,congruency_response.stopped,trials_enc.key_resp_congruency.keys,trials_enc.key_resp_congruency.corr,trials_enc.key_resp_congruency.rt,trials_enc.key_resp_congruency.duration,blank1000_2.started,text_6.started,text_6.stopped,blank1000_2.stopped,text_congruency.stopped,key_resp_congruency.stopped,image_scene.stopped,image_item.stopped,ret_inst_gen.started,text_7.started,ret_inst_gen.stopped,key_continue_7.keys,key_continue_7.rt,key_continue_7.duration,ret_inst_1.started,image_inst1.started,key_continue.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.003806099994108081,0.003870300017297268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003891299944370985,0.0066964998841285706,0.9969740000087768,7.28203979996033,space,6.261394300032407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.282081899931654,7.2847877999302,7.2847877999302,10.589172099949792,space,3.301505899988115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
J1,Negvi,stimuli/scenes/scene_J1.jpg,1,0,0,0,space,5.517314199823886,None,,,,,,,,,,0,0,0,0,,,,,,,,,10.730174799915403,,,,,,,,,,,,,,,,,,,10.723576699849218,10.730174799915403,10.730174799915403,10.730174799915403,10.730174799915403,11.580926100024953,17.106494299834594,space,5.517314199823886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
J2,Tulon,stimuli/scenes/scene_J2.jpg,2,1,1,0,space,11.800612000050023,None,,,,,,,,,,0,1,1,1,,,,,,,,,17.23021940002218,,,,,,,,,,,,,,,,,,,17.201313799945638,17.23021940002218,17.23021940002218,17.23021940002218,17.23021940002218,18.097561900038272,29.906796199968085,space,11.800612000050023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
U1,Somar,stimuli/scenes/scene_U1.jpg,3,2,2,0,space,3.768283300101757,None,,,,,,,,,,0,2,2,2,,,,,,,,,30.035756199853495,,,,,,,,,,,,,,,,,,,30.031702699838206,30.035756199853495,30.035756199853495,30.035756199853495,30.035756199853495,30.897916999878362,34.67303489986807,space,3.768283300101757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
U2,Malbow,stimuli/scenes/scene_U2.jpg,4,3,3,0,space,4.169401099905372,None,,,,,,,,,,0,3,3,3,,,,,,,,,34.759784299880266,,,,,,,,,,,,,,,,,,,34.755630400031805,34.759784299880266,34.759784299880266,34.759784299880266,34.759784299880266,35.66480349982157,39.84014879981987,space,4.169401099905372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8402497000061,39.84793969988823,39.84793969988823,41.106584599940106,space,1.2503460999578238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.35627430002205,41.44115850003436,41.44115850003436,41.44115850003436,41.44115850003436,41.44115850003436,41.44115850003436,41.44115850003436,41.44115850003436,41.44115850003436,44.04824889986776,space,2.6011065000202507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0544113998767,44.056584199890494,45.03991259983741,46.256386099848896,space,1.2105243999976665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.25642629992217,46.26479269983247,49.247930999845266,50.240185800008476,space,0.9864851001184434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2503484999761,50.25269769993611,53.23171569989063,54.331487599993125,space,1.0986368998419493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.33153059985489,54.33156599989161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_U2.jpg,Malbow,,,0,0,0,,,,Undersea,stimuli/items/undersea_animals_37.png,Undersea,animal,sc,q,1,0.3590849998872727,None,,,,,,,,,0,0,0,11,54.40463949996047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.39867229992524,54.40463949996047,54.40463949996047,56.33231700002216,56.33704350003973,56.33923269994557,56.33923269994557,56.70743259997107,q,1,0.3590849998872727,None,56.70748909981921,56.714848399860784,57.74091779999435,57.6983335998375,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_J1.jpg,Negvi,,,1,1,0,,,,Jungle,stimuli/items/other_objects_41.png,Other,object,si,p,1,0.3673356999643147,None,,,,,,,,,0,1,1,2,57.74091779999435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.73667549993843,57.74091779999435,57.74091779999435,59.715081200003624,59.715127599891275,59.72301119985059,59.72301119985059,60.09823119989596,p,1,0.3673356999643147,None,60.098293100018054,60.1065097998362,61.13250790000893,61.08984489995055,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_J1.jpg,Negvi,,,2,2,0,,,,Jungle,stimuli/items/jungle_objects_30.png,Jungle,object,sc,None,0,,,,,,,,,,,0,2,2,1,61.13250790000893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.128273899899796,61.13250790000893,61.13250790000893,63.09838799992576,63.09844089997932,63.10634639998898,63.10634639998898,64.09005879983306,None,0,,,64.09010579995811,64.09821149986237,65.12938599986956,65.08182880003005,64.09821149986237,64.09821149986237,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_U1.jpg,Somar,,,3,3,0,,,,Undersea,stimuli/items/other_animals_39.png,Other,animal,si,None,0,,,,,,,,,,,0,3,3,8,65.12938599986956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.12526010000147,65.12938599986956,65.12938599986956,67.09872759995051,67.09883879986592,67.10656169988215,67.10656169988215,68.0903153999243,None,0,,,68.09036279981956,68.09841619990766,69.13494169991463,69.0820869000163,68.09841619990766,68.09841619990766,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_J2.jpg,Tulon,,,4,4,0,,,,Jungle,stimuli/items/undersea_animals_18.png,Undersea,animal,si,None,0,,,,,,,,,,,0,4,4,5,69.13494169991463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1296977000311,69.13494169991463,69.13494169991463,71.09872509981506,71.09877229994163,71.10655829985626,71.10655829985626,72.09027209994383,None,0,,,72.09031909983605,72.09833569987677,73.10645439988002,73.08195619983599,72.09833569987677,72.09833569987677,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_U1.jpg,Somar,,,5,5,0,,,,Undersea,stimuli/items/undersea_animals_31.png,Undersea,animal,sc,None,0,,,,,,,,,,,0,5,5,7,73.10645439988002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1015135999769,73.10645439988002,73.10645439988002,75.0900312999729,75.09007070004009,75.09821289987303,75.09821289987303,76.08222119999118,None,0,,,76.08226830000058,76.09005809994414,77.117888599867,77.07367439987138,76.09005809994414,76.09005809994414,75.09821289987303,75.09821289987303,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_U2.jpg,Malbow,,,6,6,0,,,,Undersea,stimuli/items/jungle_animals_26.png,Jungle,animal,si,q,0,0.19962799991481006,None,,,,,,,,,0,6,6,9,77.117888599867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.11388810002245,77.117888599867,77.117888599867,79.09876139997505,79.09886349993758,79.10660259984434,79.10660259984434,79.30682569998316,q,0,0.19962799991481006,None,79.30688539985567,79.31513040000573,80.34757199999876,80.29868819983676,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_J1.jpg,Negvi,,,7,7,0,,,,Jungle,stimuli/items/jungle_animals_43.png,Jungle,animal,sc,p,0,0.20688219997100532,None,,,,,,,,,0,7,7,0,80.34757199999876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3433284999337,80.34757199999876,80.34757199999876,82.30725839990191,82.30736129987054,82.31541779986583,82.31541779986583,82.5235253998544,p,0,0.20688219997100532,None,82.52358249993995,82.53195019997656,83.55006609996781,83.51525799999945,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_J2.jpg,Tulon,,,8,8,0,,,,Jungle,stimuli/items/jungle_animals_46.png,Jungle,animal,sc,p,0,0.318476099986583,None,,,,,,,,,0,8,8,3,83.55006609996781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.54446819983423,83.55006609996781,83.55006609996781,85.52412099996582,85.52416729996912,85.53197469981387,85.53197469981387,85.8573264000006,p,0,0.318476099986583,None,85.85738629987463,85.865178699838,86.88014519982971,86.8490160999354,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_J2.jpg,Tulon,,,9,9,0,,,,Jungle,stimuli/items/undersea_objects_38.png,Undersea,object,si,p,1,0.8732262998819351,None,,,,,,,,,0,9,9,4,86.88014519982971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8763486999087,86.88014519982971,86.88014519982971,88.85772339999676,88.85779559984803,88.86519209994003,88.86519209994003,89.74070960003883,p,1,0.8732262998819351,None,89.74077029991895,89.74884109990671,90.78724059998058,90.73241559998132,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
stimuli/scenes/scene_U1.jpg,Somar,,,10,10,0,,,,Undersea,stimuli/items/undersea_objects_8.png,Undersea,object,sc,q,1,0.26955760014243424,None,,,,,,,,,0,10,10,6,90.78724059998058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.78225639997981,90.78724059998058,90.78724059998058,92.74082239996642,92.74086869996972,92.7488351999782,92.7488351999782,93.02419260004535,q,1,0.26955760014243424,None,93.02424980001524,93.03198820003308,94.0562330998946,94.01546309981495,,,,,,,,,,,,,,220,1,2026-07-09_11h54.22.267,SBL_superimposed_training_task,,2026.1.3,120.3483845223323,2026-07-09 11h54.23.735240 -0400,
