scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,key_sceneLearn.keys,key_sceneLearn.rt,key_sceneLearn.duration,scene_cat,item_stimulus,item_cat,item_type,congruency,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,trials_part1.thisRepN,trials_part1.thisTrialN,trials_part1.thisN,trials_part1.thisIndex,skip_to_part4_debug.thisRepN,skip_to_part4_debug.thisTrialN,skip_to_part4_debug.thisN,skip_to_part4_debug.thisIndex,trials_enc.thisRepN,trials_enc.thisTrialN,trials_enc.thisN,trials_enc.thisIndex,thisRow.t,notes,piloting,get_sub_vars.started,get_sub_vars.stopped,overall_instructions.started,text_instructions.started,key_welcome.started,overall_instructions.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,part1_instructions.started,text_instructions_part1.started,key_instructions_part1.started,part1_instructions.stopped,key_instructions_part1.keys,key_instructions_part1.rt,key_instructions_part1.duration,part1.started,scene_image_part1.started,scene_name_part1.started,text_scenename.started,text_memorize.started,key_sceneLearn.started,part1.stopped,trials_part1.key_sceneLearn.keys,trials_part1.key_sceneLearn.rt,trials_part1.key_sceneLearn.duration,part1_instructions_2.started,text_instructions_part1_2.started,key_instructions_part1_2.started,part1_instructions_2.stopped,key_instructions_part1_2.keys,key_instructions_part1_2.rt,key_instructions_part1_2.duration,part1_compare.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_compare.started,part1_compare.stopped,key_compare.keys,key_compare.rt,key_compare.duration,part4_instructions.started,text_part4_instructions.started,key_part4_instructions.started,part4_instructions.stopped,key_part4_instructions.keys,key_part4_instructions.rt,key_part4_instructions.duration,enc_instruction_screen.started,text_enc_instruction.started,key_proceed.started,enc_instruction_screen.stopped,key_proceed.keys,key_proceed.rt,key_proceed.duration,enc_inst_2.started,text_relatedness_keys.started,key_proceed_2.started,enc_inst_2.stopped,key_proceed_2.keys,key_proceed_2.rt,key_proceed_2.duration,get_stim_list.started,get_stim_list.stopped,scene_item_presentation.started,image_scene.started,image_item.started,scene_item_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,text_congruency.stopped,key_resp_congruency.stopped,congruency_response.stopped,trials_enc.key_resp_congruency.keys,trials_enc.key_resp_congruency.corr,blank1000_2.started,text_6.started,text_6.stopped,blank1000_2.stopped,trials_enc.key_resp_congruency.rt,trials_enc.key_resp_congruency.duration,image_scene.stopped,image_item.stopped,ret_inst_gen.started,text_7.started,ret_inst_gen.stopped,key_continue_7.keys,key_continue_7.rt,key_continue_7.duration,ret_inst_1.started,image_inst1.started,key_continue.started,ret_inst_1.stopped,key_continue.keys,key_continue.rt,key_continue.duration,ret_inst_2.started,image_inst2.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.003647899953648448,0.003720999928191304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h22.52.093,SBL_superimposed_training_task,,2026.1.3,120.09473066194407,2026-07-09 13h22.53.571370 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037432999815791845,0.009371399879455566,1.001191799994558,1.8660007000435144,space,0.8428974999114871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h22.52.093,SBL_superimposed_training_task,,2026.1.3,120.09473066194407,2026-07-09 13h22.53.571370 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.866040299879387,1.8686575999017805,1.8686575999017805,3.1931696999818087,space,1.3194993999786675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h22.52.093,SBL_superimposed_training_task,,2026.1.3,120.09473066194407,2026-07-09 13h22.53.571370 -0400,
U1,Somar,stimuli/scenes/scene_U1.jpg,3,0,0,0,space,0.25141509994864464,None,,,,,,,,,,0,0,0,2,,,,,,,,,3.2998621999286115,,,,,,,,,,,,,,,,,,,3.2952137000393122,3.2998621999286115,3.2998621999286115,3.2998621999286115,3.2998621999286115,4.184603999834508,4.44296389981173,space,0.25141509994864464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h22.52.093,SBL_superimposed_training_task,,2026.1.3,120.09473066194407,2026-07-09 13h22.53.571370 -0400,
J2,Tulon,stimuli/scenes/scene_J2.jpg,2,1,1,0,space,0.9211623999290168,None,,,,,,,,,,0,1,1,1,,,,,,,,,4.533783399965614,,,,,,,,,,,,,,,,,,,4.529401700012386,4.533783399965614,4.533783399965614,4.533783399965614,4.533783399965614,5.434787299949676,6.360111899906769,space,0.9211623999290168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h22.52.093,SBL_superimposed_training_task,,2026.1.3,120.09473066194407,2026-07-09 13h22.53.571370 -0400,
U2,Malbow,stimuli/scenes/scene_U2.jpg,4,2,2,0,space,0.4285655999556184,None,,,,,,,,,,0,2,2,3,,,,,,,,,6.444846799829975,,,,,,,,,,,,,,,,,,,6.440722099971026,6.444846799829975,6.444846799829975,6.444846799829975,6.444846799829975,7.351558899972588,7.785125199938193,space,0.4285655999556184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h22.52.093,SBL_superimposed_training_task,,2026.1.3,120.09473066194407,2026-07-09 13h22.53.571370 -0400,
J1,Negvi,stimuli/scenes/scene_J1.jpg,1,3,3,0,space,0.5554000998381525,None,,,,,,,,,,0,3,3,0,,,,,,,,,7.895549200009555,,,,,,,,,,,,,,,,,,,7.890487199882045,7.895549200009555,7.895549200009555,7.895549200009555,7.895549200009555,8.776541499886662,9.334739599842578,space,0.5554000998381525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h22.52.093,SBL_superimposed_training_task,,2026.1.3,120.09473066194407,2026-07-09 13h22.53.571370 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.334836299996823,9.342653600033373,9.342653600033373,10.69309620000422,space,1.3493899998720735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h22.52.093,SBL_superimposed_training_task,,2026.1.3,120.09473066194407,2026-07-09 13h22.53.571370 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.903348699910566,10.989377599908039,10.989377599908039,10.989377599908039,10.989377599908039,10.989377599908039,10.989377599908039,10.989377599908039,10.989377599908039,10.989377599908039,12.668310099979863,space,1.6705402999650687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h22.52.093,SBL_superimposed_training_task,,2026.1.3,120.09473066194407,2026-07-09 13h22.53.571370 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.674064900027588,12.676325999898836,13.659472199855372,14.876693699974567,space,1.208487099967897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h22.52.093,SBL_superimposed_training_task,,2026.1.3,120.09473066194407,2026-07-09 13h22.53.571370 -0400,
