scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,key_sceneLearn.keys,key_sceneLearn.rt,key_sceneLearn.duration,trials_part1.thisRepN,trials_part1.thisTrialN,trials_part1.thisN,trials_part1.thisIndex,skip_to_part4_debug.thisRepN,skip_to_part4_debug.thisTrialN,skip_to_part4_debug.thisN,skip_to_part4_debug.thisIndex,thisRow.t,notes,piloting,get_sub_vars.started,get_sub_vars.stopped,overall_instructions.started,text_instructions.started,key_welcome.started,overall_instructions.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,part1_instructions.started,text_instructions_part1.started,key_instructions_part1.started,part1_instructions.stopped,key_instructions_part1.keys,key_instructions_part1.rt,key_instructions_part1.duration,part1.started,scene_image_part1.started,scene_name_part1.started,text_scenename.started,text_memorize.started,key_sceneLearn.started,part1.stopped,trials_part1.key_sceneLearn.keys,trials_part1.key_sceneLearn.rt,trials_part1.key_sceneLearn.duration,part1_instructions_2.started,text_instructions_part1_2.started,key_instructions_part1_2.started,part1_instructions_2.stopped,key_instructions_part1_2.keys,key_instructions_part1_2.rt,key_instructions_part1_2.duration,part1_compare.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_compare.started,part1_compare.stopped,key_compare.keys,key_compare.rt,key_compare.duration,part4_instructions.started,text_part4_instructions.started,key_part4_instructions.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,False,0.0036511000362224877,0.0037187000270932913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h35.54.070,SBL_superimposed_training_task,,2026.1.3,120.03822009697463,2026-07-09 13h35.55.327319 -0400,
,,,,,,,,,,,,,,,,,,,,,,,0.003740500018466264,0.006447800027672201,0.9979226000141352,2.4557253000093624,space,1.4409515999723226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h35.54.070,SBL_superimposed_training_task,,2026.1.3,120.03822009697463,2026-07-09 13h35.55.327319 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4557657000259496,2.458504000038374,2.458504000038374,4.139862900017761,space,1.6765100000193343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h35.54.070,SBL_superimposed_training_task,,2026.1.3,120.03822009697463,2026-07-09 13h35.55.327319 -0400,
J2,Tulon,stimuli/scenes/scene_J2.jpg,2,0,0,0,space,0.666825600026641,None,0,0,0,1,,,,,4.222105900000315,,,,,,,,,,,,,,,,,,,4.217387499986216,4.222105900000315,4.222105900000315,4.222105900000315,4.222105900000315,5.13200300000608,5.80679100000998,space,0.666825600026641,None,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h35.54.070,SBL_superimposed_training_task,,2026.1.3,120.03822009697463,2026-07-09 13h35.55.327319 -0400,
U1,Somar,stimuli/scenes/scene_U1.jpg,3,1,1,0,space,0.4725375000271015,None,0,1,1,2,,,,,5.859742500004359,,,,,,,,,,,,,,,,,,,5.856047899986152,5.859742500004359,5.859742500004359,5.859742500004359,5.859742500004359,6.798512900015339,7.273696199990809,space,0.4725375000271015,None,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h35.54.070,SBL_superimposed_training_task,,2026.1.3,120.03822009697463,2026-07-09 13h35.55.327319 -0400,
U2,Malbow,stimuli/scenes/scene_U2.jpg,4,2,2,0,space,0.7499158999999054,None,0,2,2,3,,,,,7.332988200010732,,,,,,,,,,,,,,,,,,,7.328843199997209,7.332988200010732,7.332988200010732,7.332988200010732,7.332988200010732,8.265031300019473,9.023344099987298,space,0.7499158999999054,None,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h35.54.070,SBL_superimposed_training_task,,2026.1.3,120.03822009697463,2026-07-09 13h35.55.327319 -0400,
J1,Negvi,stimuli/scenes/scene_J1.jpg,1,3,3,0,space,0.8241947999922559,None,0,3,3,0,,,,,9.087525799986906,,,,,,,,,,,,,,,,,,,9.083115999994334,9.087525799986906,9.087525799986906,9.087525799986906,9.087525799986906,10.014853600005154,10.840057099994738,space,0.8241947999922559,None,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h35.54.070,SBL_superimposed_training_task,,2026.1.3,120.03822009697463,2026-07-09 13h35.55.327319 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.840154699981213,10.848068299994338,10.848068299994338,12.523411800037138,space,1.6708580999984406,None,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h35.54.070,SBL_superimposed_training_task,,2026.1.3,120.03822009697463,2026-07-09 13h35.55.327319 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.633557000022847,12.712941300007515,12.712941300007515,12.712941300007515,12.712941300007515,12.712941300007515,12.712941300007515,12.712941300007515,12.712941300007515,12.712941300007515,13.99852289998671,space,1.2779075999860652,None,,,,220,1,2026-07-09_13h35.54.070,SBL_superimposed_training_task,,2026.1.3,120.03822009697463,2026-07-09 13h35.55.327319 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.003718800027855,14.006064000015613,14.990162800007965,,,,,,,,,
