scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,key_sceneLearn.keys,key_sceneLearn.rt,key_sceneLearn.duration,scene_cat,item_stimulus,item_cat,item_type,congruency,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,trials_part1.thisRepN,trials_part1.thisTrialN,trials_part1.thisN,trials_part1.thisIndex,skip_to_part4_debug.thisRepN,skip_to_part4_debug.thisTrialN,skip_to_part4_debug.thisN,skip_to_part4_debug.thisIndex,trials_enc.thisRepN,trials_enc.thisTrialN,trials_enc.thisN,trials_enc.thisIndex,thisRow.t,notes,piloting,get_sub_vars.started,get_sub_vars.stopped,overall_instructions.started,text_instructions.started,key_welcome.started,overall_instructions.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,part1_instructions.started,text_instructions_part1.started,key_instructions_part1.started,part1_instructions.stopped,key_instructions_part1.keys,key_instructions_part1.rt,key_instructions_part1.duration,part1.started,scene_image_part1.started,scene_name_part1.started,text_scenename.started,text_memorize.started,key_sceneLearn.started,part1.stopped,trials_part1.key_sceneLearn.keys,trials_part1.key_sceneLearn.rt,trials_part1.key_sceneLearn.duration,part1_instructions_2.started,text_instructions_part1_2.started,key_instructions_part1_2.started,part1_instructions_2.stopped,key_instructions_part1_2.keys,key_instructions_part1_2.rt,key_instructions_part1_2.duration,part1_compare.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_compare.started,part1_compare.stopped,key_compare.keys,key_compare.rt,key_compare.duration,part4_instructions.started,text_part4_instructions.started,key_part4_instructions.started,part4_instructions.stopped,key_part4_instructions.keys,key_part4_instructions.rt,key_part4_instructions.duration,enc_instruction_screen.started,text_enc_instruction.started,key_proceed.started,enc_instruction_screen.stopped,key_proceed.keys,key_proceed.rt,key_proceed.duration,enc_inst_2.started,text_relatedness_keys.started,key_proceed_2.started,enc_inst_2.stopped,key_proceed_2.keys,key_proceed_2.rt,key_proceed_2.duration,get_stim_list.started,get_stim_list.stopped,scene_item_presentation.started,image_scene.started,image_item.started,scene_item_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,text_congruency.stopped,key_resp_congruency.stopped,congruency_response.stopped,trials_enc.key_resp_congruency.keys,trials_enc.key_resp_congruency.corr,blank1000_2.started,text_6.started,text_6.stopped,blank1000_2.stopped,trials_enc.key_resp_congruency.rt,trials_enc.key_resp_congruency.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.002936700009740889,0.003001999983098358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h09.27.505,training_task,,2026.1.3,119.84300561124502,2026-07-09 09h09.28.843814 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030235000303946435,0.011579199985135347,0.99548500002129,3.844349700026214,space,2.819323300034739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h09.27.505,training_task,,2026.1.3,119.84300561124502,2026-07-09 09h09.28.843814 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8443917999975383,3.847236600005999,3.847236600005999,11.22885580000002,space,7.375664399995003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h09.27.505,training_task,,2026.1.3,119.84300561124502,2026-07-09 09h09.28.843814 -0400,
U2,Malbow,stimuli/scenes/scene_U2.jpg,4,0,0,0,space,4.13820449996274,None,,,,,,,,,,0,0,0,3,,,,,,,,,11.32790550001664,,,,,,,,,,,,,,,,,,,11.318600500002503,11.32790550001664,11.32790550001664,11.32790550001664,11.32790550001664,12.220585500006564,16.36236490000738,space,4.13820449996274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h09.27.505,training_task,,2026.1.3,119.84300561124502,2026-07-09 09h09.28.843814 -0400,
J1,Negvi,stimuli/scenes/scene_J1.jpg,1,1,1,0,space,1.5327182000037283,None,,,,,,,,,,0,1,1,0,,,,,,,,,16.459125499997754,,,,,,,,,,,,,,,,,,,16.43581679998897,16.459125499997754,16.459125499997754,16.459125499997754,16.459125499997754,17.3541049999767,18.88741879997542,space,1.5327182000037283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h09.27.505,training_task,,2026.1.3,119.84300561124502,2026-07-09 09h09.28.843814 -0400,
U1,Somar,stimuli/scenes/scene_U1.jpg,3,2,2,0,space,0.4325087000033818,None,,,,,,,,,,0,2,2,2,,,,,,,,,18.941799900028855,,,,,,,,,,,,,,,,,,,18.93750960001489,18.941799900028855,18.941799900028855,18.941799900028855,18.941799900028855,19.878489200025797,20.312494200014044,space,0.4325087000033818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h09.27.505,training_task,,2026.1.3,119.84300561124502,2026-07-09 09h09.28.843814 -0400,
J2,Tulon,stimuli/scenes/scene_J2.jpg,2,3,3,0,space,1.1509636000264436,None,,,,,,,,,,0,3,3,1,,,,,,,,,20.37284660001751,,,,,,,,,,,,,,,,,,,20.368479700002354,20.37284660001751,20.37284660001751,20.37284660001751,20.37284660001751,21.303835899976548,22.46243090002099,space,1.1509636000264436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h09.27.505,training_task,,2026.1.3,119.84300561124502,2026-07-09 09h09.28.843814 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.462531699973624,22.470187700004317,22.470187700004317,23.912189099995885,space,1.4407979000243358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h09.27.505,training_task,,2026.1.3,119.84300561124502,2026-07-09 09h09.28.843814 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.06702529999893,24.132781899999827,24.132781899999827,24.132781899999827,24.132781899999827,24.132781899999827,24.132781899999827,24.132781899999827,24.132781899999827,24.132781899999827,25.454203800007235,space,1.3138698000111617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h09.27.505,training_task,,2026.1.3,119.84300561124502,2026-07-09 09h09.28.843814 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.459675799997058,25.461845899990294,26.445452600019053,26.8871815999737,space,0.44121849996736273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h09.27.505,training_task,,2026.1.3,119.84300561124502,2026-07-09 09h09.28.843814 -0400,
