scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,key_sceneLearn.keys,key_sceneLearn.rt,key_sceneLearn.duration,scene_cat,item_stimulus,item_cat,item_type,congruency,trials_part1.thisRepN,trials_part1.thisTrialN,trials_part1.thisN,trials_part1.thisIndex,skip_to_part4_debug.thisRepN,skip_to_part4_debug.thisTrialN,skip_to_part4_debug.thisN,skip_to_part4_debug.thisIndex,trials_enc.thisRepN,trials_enc.thisTrialN,trials_enc.thisN,trials_enc.thisIndex,key_resp_congruency.keys,key_resp_congruency.corr,thisRow.t,notes,piloting,get_sub_vars.started,get_sub_vars.stopped,overall_instructions.started,text_instructions.started,key_welcome.started,overall_instructions.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,part1_instructions.started,text_instructions_part1.started,key_instructions_part1.started,part1_instructions.stopped,key_instructions_part1.keys,key_instructions_part1.rt,key_instructions_part1.duration,part1.started,scene_image_part1.started,scene_name_part1.started,text_scenename.started,text_memorize.started,key_sceneLearn.started,part1.stopped,trials_part1.key_sceneLearn.keys,trials_part1.key_sceneLearn.rt,trials_part1.key_sceneLearn.duration,part1_instructions_2.started,text_instructions_part1_2.started,key_instructions_part1_2.started,part1_instructions_2.stopped,key_instructions_part1_2.keys,key_instructions_part1_2.rt,key_instructions_part1_2.duration,part1_compare.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_compare.started,part1_compare.stopped,key_compare.keys,key_compare.rt,key_compare.duration,part4_instructions.started,text_part4_instructions.started,key_part4_instructions.started,part4_instructions.stopped,key_part4_instructions.keys,key_part4_instructions.rt,key_part4_instructions.duration,enc_instruction_screen.started,text_enc_instruction.started,key_proceed.started,enc_instruction_screen.stopped,key_proceed.keys,key_proceed.rt,key_proceed.duration,enc_inst_2.started,text_relatedness_keys.started,key_proceed_2.started,enc_inst_2.stopped,key_proceed_2.keys,key_proceed_2.rt,key_proceed_2.duration,get_stim_list.started,get_stim_list.stopped,scene_item_presentation.started,image_scene.started,image_item.started,scene_item_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,text_congruency.stopped,key_resp_congruency.stopped,congruency_response.stopped,trials_enc.key_resp_congruency.keys,trials_enc.key_resp_congruency.corr,blank1000_2.started,text_6.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0029086999711580575,0.002974799950607121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h12.57.307,training_task,,2026.1.3,119.65758780256482,2026-07-09 09h12.58.582004 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029962999979034066,0.005650399951264262,0.9955402999767102,35.76228809996974,space,34.747366500028875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h12.57.307,training_task,,2026.1.3,119.65758780256482,2026-07-09 09h12.58.582004 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.762331899954006,35.764990099996794,35.764990099996794,36.546433999959845,space,0.778128599980846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h12.57.307,training_task,,2026.1.3,119.65758780256482,2026-07-09 09h12.58.582004 -0400,
J1,Negvi,stimuli/scenes/scene_J1.jpg,1,0,0,0,space,0.5248139000032097,None,,,,,,0,0,0,0,,,,,,,,,,,36.65477339999052,,,,,,,,,,,,,,,,,,,36.62827289995039,36.65477339999052,36.65477339999052,36.65477339999052,36.65477339999052,37.53800479997881,38.06333969999105,space,0.5248139000032097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h12.57.307,training_task,,2026.1.3,119.65758780256482,2026-07-09 09h12.58.582004 -0400,
J2,Tulon,stimuli/scenes/scene_J2.jpg,2,1,1,0,space,0.6721094000386074,None,,,,,,0,1,1,1,,,,,,,,,,,38.11908729997231,,,,,,,,,,,,,,,,,,,38.11583349999273,38.11908729997231,38.11908729997231,38.11908729997231,38.11908729997231,39.05478219996439,39.730100199987646,space,0.6721094000386074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h12.57.307,training_task,,2026.1.3,119.65758780256482,2026-07-09 09h12.58.582004 -0400,
U1,Somar,stimuli/scenes/scene_U1.jpg,3,2,2,0,space,0.8139321000198834,None,,,,,,0,2,2,2,,,,,,,,,,,39.78214839997236,,,,,,,,,,,,,,,,,,,39.778376499947626,39.78214839997236,39.78214839997236,39.78214839997236,39.78214839997236,40.72114199999487,41.53813949995674,space,0.8139321000198834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h12.57.307,training_task,,2026.1.3,119.65758780256482,2026-07-09 09h12.58.582004 -0400,
U2,Malbow,stimuli/scenes/scene_U2.jpg,4,3,3,0,space,0.5249098999775015,None,,,,,,0,3,3,3,,,,,,,,,,,41.59099359996617,,,,,,,,,,,,,,,,,,,41.587064799969085,41.59099359996617,41.59099359996617,41.59099359996617,41.59099359996617,42.52989779994823,43.05520819994854,space,0.5249098999775015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h12.57.307,training_task,,2026.1.3,119.65758780256482,2026-07-09 09h12.58.582004 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.05530489998637,43.06278319994453,43.06278319994453,44.1130290000001,space,1.0481011999654584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h12.57.307,training_task,,2026.1.3,119.65758780256482,2026-07-09 09h12.58.582004 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.243921699991915,44.298755800002255,44.298755800002255,44.298755800002255,44.298755800002255,44.298755800002255,44.298755800002255,44.298755800002255,44.298755800002255,44.298755800002255,109.95603329996811,space,65.65212230000179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h12.57.307,training_task,,2026.1.3,119.65758780256482,2026-07-09 09h12.58.582004 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9626530999667,109.9648765999591,110.94714229996316,113.55566459998954,space,2.603824599995278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_09h12.57.307,training_task,,2026.1.3,119.65758780256482,2026-07-09 09h12.58.582004 -0400,
