scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/jungle_object_11.png,Jungle,object,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/jungle_animal_14.png,Jungle,animal,sc
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/sea_animal_2.png,Undersea,animal,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/sea_object_3.png,Undersea,object,si
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/sea_animal_11.png,Undersea,animal,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/jungle_object_6.png,Jungle,object,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/sea_object_11.png,Undersea,object,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/jungle_animal_10.png,Jungle,animal,sc
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/jungle_animal_2.png,Jungle,animal,sc
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/sea_object_9.png,Undersea,object,sc
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/other_animal_3.png,Other,animal,si
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/jungle_object_7.png,Jungle,object,si
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/sea_object_8.png,Undersea,object,si
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/other_animal_8.png,Other,animal,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/other_animal_1.png,Other,animal,si
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/jungle_object_13.png,Jungle,object,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/other_object_6.png,Other,object,si
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/sea_animal_15.png,Undersea,animal,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/sea_object_15.png,Undersea,object,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/jungle_animal_6.png,Jungle,animal,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/jungle_animal_4.png,Jungle,animal,si
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/other_animal_2.png,Other,animal,si
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/other_object_5.png,Other,object,si
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/other_object_8.png,Other,object,si
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/jungle_object_9.png,Jungle,object,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/jungle_animal_9.png,Jungle,animal,si
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/jungle_animal_7.png,Jungle,animal,sc
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/sea_animal_4.png,Undersea,animal,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/sea_object_12.png,Undersea,object,si
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/jungle_object_1.png,Jungle,object,si
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/sea_object_10.png,Undersea,object,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/other_object_3.png,Other,object,si
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/other_animal_5.png,Other,animal,si
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/sea_animal_1.png,Undersea,animal,sc
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/other_animal_7.png,Other,animal,si
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/jungle_animal_3.png,Jungle,animal,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/jungle_animal_11.png,Jungle,animal,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/sea_animal_8.png,Undersea,animal,sc
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/sea_object_14.png,Undersea,object,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/sea_animal_5.png,Undersea,animal,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/jungle_animal_5.png,Jungle,animal,sc
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/sea_object_7.png,Undersea,object,si
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/other_object_10.png,Other,object,si
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/sea_object_13.png,Undersea,object,sc
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/jungle_object_12.png,Jungle,object,sc
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/sea_object_4.png,Undersea,object,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/sea_animal_3.png,Undersea,animal,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/other_object_2.png,Other,object,si
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/other_animal_10.png,Other,animal,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/sea_animal_6.png,Undersea,animal,si
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/sea_animal_13.png,Undersea,animal,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/jungle_animal_15.png,Jungle,animal,sc
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/sea_object_6.png,Undersea,object,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/sea_animal_10.png,Undersea,animal,sc
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/jungle_animal_13.png,Jungle,animal,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/sea_object_2.png,Undersea,object,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/jungle_object_8.png,Jungle,object,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/other_animal_4.png,Other,animal,si
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/sea_animal_7.png,Undersea,animal,si
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/jungle_object_10.png,Jungle,object,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/jungle_object_4.png,Jungle,object,sc
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/jungle_object_3.png,Jungle,object,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/jungle_object_5.png,Jungle,object,sc
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/other_animal_6.png,Other,animal,si
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/sea_object_5.png,Undersea,object,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/sea_animal_9.png,Undersea,animal,si
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/sea_animal_14.png,Undersea,animal,sc
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/other_object_7.png,Other,object,si
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/other_object_9.png,Other,object,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/jungle_object_14.png,Jungle,object,sc
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/sea_animal_12.png,Undersea,animal,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/jungle_object_2.png,Jungle,object,sc
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/sea_object_1.png,Undersea,object,sc
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/jungle_animal_12.png,Jungle,animal,sc
stimul/scenes/scene_U2.png,Undersea,Negvi,stimuli/items/jungle_animal_8.png,Jungle,animal,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/other_animal_9.png,Other,animal,si
stimul/scenes/scene_U1.png,Undersea,Malbow,stimuli/items/jungle_animal_1.png,Jungle,animal,si
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/other_object_4.png,Other,object,si
stimul/scenes/scene_J1.png,Jungle,Tulon,stimuli/items/jungle_object_15.png,Jungle,object,sc
stimul/scenes/scene_J2.png,Jungle,Somar,stimuli/items/other_object_1.png,Other,object,si
