scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency
stimuli/scenes/scene_J1.jpg,Jungle,,stimuli/items/jungle_animals_43.png,Jungle,animal,sc
stimuli/scenes/scene_J1.jpg,Jungle,,stimuli/items/jungle_objects_30.png,Jungle,object,sc
stimuli/scenes/scene_J1.jpg,Jungle,,stimuli/items/other_objects_41.png,Other,object,si
stimuli/scenes/scene_J2.jpg,Jungle,,stimuli/items/jungle_animals_46.png,Jungle,animal,sc
stimuli/scenes/scene_J2.jpg,Jungle,,stimuli/items/undersea_objects_38.png,Undersea,object,si
stimuli/scenes/scene_J2.jpg,Jungle,,stimuli/items/undersea_animals_18.png,Undersea,animal,si
stimuli/scenes/scene_U1.jpg,Undersea,,stimuli/items/undersea_objects_8.png,Undersea,object,sc
stimuli/scenes/scene_U1.jpg,Undersea,,stimuli/items/undersea_animals_31.png,Undersea,animal,sc
stimuli/scenes/scene_U1.jpg,Undersea,,stimuli/items/other_animals_39.png,Other,animal,si
stimuli/scenes/scene_U2.jpg,Undersea,,stimuli/items/jungle_animals_26.png,Jungle,animal,si
stimuli/scenes/scene_U2.jpg,Undersea,,stimuli/items/jungle_animals_10.png,Jungle,animal,si
stimuli/scenes/scene_U2.jpg,Undersea,,stimuli/items/undersea_animals_37.png,Undersea,animal,sc
